dataset,provider,yes,yes_std,no,no_std,unknown,unknown_std
twitter,anthropic,-0.004996545887530017,0.007471496648579137,-0.04211428343761207,0.05714483373976596,0.04711082932514213,0.058297780248709144
twitter,openai,2.2184342733483412e-05,0.010438157076215076,-0.06911147922922495,0.03374421305798492,0.06908929488649147,0.04174220643196028
twitter,gemini,0.0023486692189679335,0.007299632076466681,-0.07957510167244537,0.05678027433622196,0.07722643245347743,0.06203327789417889
twitter,Average,-0.0008752307752762,0.003753939485487969,-0.06360028811309414,0.01932894581565933,0.06447551888837035,0.015578914746107278
