,Content: Polarization Score,Content: Primary Topic,Toxicity: Toxicity,Text: Avg Word Length,Sentiment: Subjectivity,Sentiment: Polarity,Author: Political Leaning,Author: Is Minority,Author: Gender,Style: Has URL,Style: Has Emoji,Style: Has Hashtag,Style: Has Mention
Claude Sonnet 4.5,0.12453736556623346,0.09523067414435836,0.093168749207243,0.08456697632618938,0.08330115770460328,0.04084685912480034,0.031011549388852186,0.016745293136545245,0.01565039210927037,0.008765851327519471,0.011635510469191717,0.0033079860041661,0.0017754649382770542
GPT-4o-mini,0.10751976847601201,0.0771228261554458,0.04470202274805972,0.045717806634523336,0.04799945214539411,0.036051968216389035,0.020295184242308084,0.0169516752602911,0.014503823628838638,0.004553787856083384,0.005307717135289172,0.002542004209774194,0.0013500619317098714
Gemini 2.0 Flash,0.11614303795649637,0.08886246049516351,0.08394292280486827,0.06646149256439227,0.060943665778604314,0.04209721948974942,0.022476936165060194,0.014986397444917698,0.016446418962483146,0.012726263660270722,0.005819437911208527,0.004309676508826583,0.0008628687968025945
"Average
(across models)",0.11606672399958062,0.0870719869316559,0.07393789825339032,0.06558209184170166,0.0640814252095339,0.03966534894364627,0.024594556598740155,0.016227788613918017,0.015533544900197385,0.008681967614624525,0.007587555171896472,0.0033865555742556256,0.0013294652222631733
