,Content: Polarization Score,Sentiment: Subjectivity,Content: Primary Topic,Toxicity: Toxicity,Text: Avg Word Length,Author: Political Leaning,Sentiment: Polarity,Author: Gender,Author: Is Minority,Style: Has Emoji,Style: Has URL,Style: Has Hashtag,Style: Has Mention
Claude Sonnet 4.5,0.11385737781858474,0.08047544476342673,0.0657274726498447,0.06292844494010154,0.07538249466145036,0.04612334031721516,0.05288492953110615,0.02213500423368385,0.01807214712886295,0.0050767104587114385,0.0024613678070198627,0.003850087915284295,0.0007146914253893834
GPT-4o-mini,0.1246871464795475,0.05954465194418192,0.07510940386663713,0.054850487079245405,0.05095812865960438,0.06004593785788168,0.036172624315146805,0.023856104490131234,0.02201232801445037,0.00208386323167035,0.003206509362146,0.0017081474219042946,0.0008235382169697055
Gemini 2.0 Flash,0.11809852116988846,0.07176649051801051,0.0658356294348667,0.07222694144896878,0.05694964506539118,0.060241463629798715,0.047133084358523716,0.0279142822498646,0.029061566769641566,0.009066614482795521,0.001959564331216667,0.0019707450918301558,0.0008320012181109444
"Average
(across models)",0.1188810151560069,0.07059552907520639,0.06889083531711618,0.06333529115610524,0.061096756128815315,0.05547024726829852,0.045396879401592226,0.024635130324559894,0.023048680637651628,0.005409062724392437,0.00254248050012751,0.0025096601430062483,0.0007900769534900111
